PassengerID,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,Name_1,female,35.6,2,1,65207,71.42,C123,C
2,1,3,Name_2,male,19.5,3,3,67643,57.08,D33,Q
3,0,3,Name_3,female,26.1,3,4,50593,152.16,,Q
4,0,3,Name_4,female,10.4,3,0,57762,124.4,G6,Q
5,0,3,Name_5,female,28.5,1,4,26461,117.36,D33,C
6,1,1,Name_6,female,45.6,0,4,41574,38.37,G6,C
7,0,3,Name_7,female,39.6,0,1,62842,43.43,E44,S
8,0,3,Name_8,female,49.6,2,3,68180,63.54,G6,Q
9,0,1,Name_9,male,25.8,3,4,80279,49.3,C123,Q
10,1,1,Name_10,male,48.8,3,4,20465,194.57,,C
11,0,1,Name_11,male,27.3,4,2,67167,13.54,B57,C
12,0,1,Name_12,female,50.6,5,0,78648,128.95,B57,Q
13,0,1,Name_13,male,29.7,1,3,22450,108.34,D33,S
14,0,1,Name_14,female,39.9,1,0,85748,71.42,,S
15,1,3,Name_15,male,50.7,2,1,64276,178.64,E44,Q
16,0,3,Name_16,male,27.3,0,4,22901,137.33,D33,S
17,1,2,Name_17,female,33.1,3,4,28654,199.69,G6,S
18,1,3,Name_18,female,48.0,5,5,45734,42.04,B57,Q
19,1,3,Name_19,male,28.1,2,0,32257,26.69,G6,S
20,0,1,Name_20,male,11.5,1,1,97142,36.49,B57,C
21,1,1,Name_21,male,60.0,1,5,27747,61.17,B57,Q
22,0,3,Name_22,male,23.4,1,5,53991,89.19,B57,C
23,1,2,Name_23,female,32.2,3,2,31785,173.89,,Q
24,1,1,Name_24,male,46.2,3,5,47403,63.88,C123,C
25,1,3,Name_25,female,21.5,3,5,45200,183.9,,S
26,1,3,Name_26,female,15.9,4,2,48075,97.95,G6,C
27,1,2,Name_27,male,33.6,0,4,89627,132.94,,C
28,1,2,Name_28,female,4.9,1,4,13983,60.24,D33,C
29,1,1,Name_29,male,26.0,1,3,52436,39.64,E44,C
30,1,2,Name_30,female,33.4,4,5,24265,175.2,D33,C
31,0,3,Name_31,female,26.2,1,0,75002,30.81,,Q
32,0,3,Name_32,male,8.4,1,4,86149,157.06,G6,C
33,1,2,Name_33,female,52.3,3,1,42231,120.39,E44,C
34,1,2,Name_34,female,31.4,3,0,99749,173.62,D33,Q
35,1,2,Name_35,male,50.0,0,3,33517,146.39,E44,Q
36,0,2,Name_36,female,26.4,1,5,62047,63.52,G6,S
37,1,1,Name_37,female,17.7,2,2,47164,119.14,B57,C
38,0,2,Name_38,male,33.8,1,3,90528,12.48,G6,C
39,0,1,Name_39,male,27.0,1,0,85012,100.29,C123,S
40,0,3,Name_40,female,13.5,0,2,47676,26.34,E44,C
41,0,2,Name_41,female,50.6,2,1,39034,91.5,G6,S
42,0,1,Name_42,female,21.3,1,2,37068,30.83,B57,Q
43,1,2,Name_43,male,4.2,5,2,54400,191.54,B57,C
44,1,3,Name_44,female,48.6,5,1,75950,109.38,G6,C
45,1,3,Name_45,female,22.9,2,4,59205,183.51,D33,Q
46,1,3,Name_46,female,21.5,5,4,70046,14.25,G6,C
47,1,2,Name_47,female,5.3,3,2,47120,131.15,B57,Q
48,0,2,Name_48,female,54.4,3,2,82118,68.32,G6,Q
49,1,1,Name_49,female,11.9,2,3,49048,92.05,C123,S
50,1,3,Name_50,male,30.8,1,4,33826,175.89,D33,Q
51,0,2,Name_51,male,42.8,2,1,40309,196.2,G6,S
52,1,3,Name_52,female,35.9,5,5,89515,56.83,B57,Q
53,0,3,Name_53,female,29.2,2,5,90491,190.17,G6,S
54,1,1,Name_54,male,6.2,5,2,99677,140.86,G6,S
55,0,1,Name_55,male,18.7,3,2,77716,190.77,E44,S
56,1,1,Name_56,male,32.6,2,5,57157,116.85,G6,S
57,1,1,Name_57,female,19.0,4,3,85255,192.54,C123,C
58,0,3,Name_58,female,32.8,5,3,50039,179.57,B57,Q
